"inverse_data","week_day","hour","state","road_id","km","city","cause_of_accident","type_of_accident","victims_condition","weather_timestamp","road_direction","wheather_condition","road_type","road_delineation","people","deaths","slightly_injured","severely_injured","uninjured","ignored","total_injured","vehicles_involved","latitude","longitude","regional","police_station"
"2017-02-14","tuesday","22:30:00","SP","116","211","GUARULHOS","Driver's lack of attention to conveyance","Side impact collision","With dead victims","Night","Increasing","Clear sky","Multiple","Straight"," 4"," 1"," 0"," 0"," 3"," 0"," 0"," 4","-2.343277e+01","-4.642078e+01","SPRF-SP","DEL01-SP"
"2017-02-14","tuesday","23:50:00","PR","277","40,2","MORRETES","Incompatible velocity","Overturn","With injured victims","Night","Decreasing","Rainy","Double","Not Reported"," 1"," 0"," 1"," 0"," 0"," 0"," 1"," 1","-2.547742e+01","-4.883487e+01","SPRF-PR","DEL01-PR"
"2017-02-14","tuesday","22:00:00","PI","343","441","LAGOINHA DO PIAUI","Driver broke the laws of transit","Head-on collision","With injured victims","Night","Increasing","Cloudy","Simple","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-5.829578e+00","-4.262318e+01","SPRF-PI","DEL01-PI"
"2017-02-15","wednesday","00:15:00","PR","116","1","QUATRO BARRAS","Driver's lack of attention to conveyance","Rear-end collision","Without victims","Night","Decreasing","Cloudy","Double","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-2.535131e+01","-4.905994e+01","SPRF-PR","DEL01-PR"
"2017-02-14","tuesday","23:50:00","CE","116","116","RUSSAS","Driver's lack of attention to conveyance","Rear-end collision","Without victims","Night","Decreasing","Cloudy","Simple","Straight"," 2"," 0"," 0"," 0"," 1"," 1"," 0"," 2","-4.612200e+00","-3.819100e+01","SPRF-CE","DEL03-CE"
"2017-02-14","tuesday","18:50:00","MG","40","96,7","LAGOA GRANDE","Mechanical loss/defect of vehicle","Side impact collision","With injured victims","Day","Decreasing","Clear sky","Simple","Straight"," 2"," 0"," 0"," 2"," 0"," 0"," 2"," 2","-1.754123e+01","-4.653037e+01","SPRF-MG","DEL14-MG"
"2017-02-15","wednesday","01:20:00","MG","381","774,5","CAMPANHA","Cardiac attack","Side impact collision","Without victims","Night","Decreasing","Cloudy","Double","Straight"," 3"," 0"," 0"," 0"," 3"," 0"," 0"," 3","-2.178756e+01","-4.543774e+01","SPRF-MG","DEL16-MG"
"2017-02-15","wednesday","02:15:00","MG","381","847,5","POUSO ALEGRE","Driver's lack of attention to conveyance","Rear-end collision","With injured victims","Night","Increasing","Cloudy","Double","Straight"," 2"," 0"," 0"," 1"," 1"," 0"," 1"," 2","-2.221871e+01","-4.587138e+01","SPRF-MG","DEL16-MG"
"2017-02-15","wednesday","03:00:00","TO","153","123","WANDERLANDIA","Slippery track","Run-off-road","Without victims","Night","Decreasing","Rainy","Simple","Not Reported"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-7.000000e+00","-4.800000e+01","SPRF-TO","DEL02-TO"
"2017-02-14","tuesday","23:40:00","MA","230","326","SAO RAIMUNDO DAS MANGABEIRAS","Driver's lack of attention to conveyance","Head-on collision","With dead victims","Night","Increasing","Drizzle","Simple","Straight"," 2"," 1"," 0"," 0"," 0"," 1"," 0"," 2","-7.064600e+00","-4.556560e+01","SPRF-MA","DEL05-MA"
"2017-02-15","wednesday","01:30:00","MT","364","165,3","PEDRA PRETA","Animals on the road","Animal collision","Without victims","Night","Decreasing","Clear sky","Simple","Straight"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-1.665220e+01","-5.437029e+01","SPRF-MT","DEL02-MT"
